drugName,mechanisticTarget,clinicalGoal
ACEi,RAAS_Activation,Ischaemia_endocardium
Antiplatelet,TXA2,Blood_Clot_mi
Beta_Blocker,SNS_Activation,Ischaemia_endocardium
Corticosteroid,MastCell,Airway_Remodelling_asthma
Corticosteroid,MastCell,Chronic_Inflammation_asthma
Corticosteroid,Th2,Airway_Remodelling_asthma
Corticosteroid,Th2,Chronic_Inflammation_asthma
LTRA,Leukotriene_asthma,Bronchoconstriction
LTRA,Leukotriene_asthma,Chronic_Inflammation_asthma
Omalizumab,IgE_Signalling,Bronchoconstriction
Omalizumab,IgE_Signalling,MastCell
SABA_LABA,cAMP_ASM,Bronchoconstriction
Statin,Hypercholesterolaemia,Atherosclerosis
